schema_version,picture_id,file,display_ms,difficulty,zh_sentence,ja_sentence,es_sentence,fr_sentence,en_sentence,zh_tr,ja_tr
1,pic_035,pic_035.jpg,10000,B2,大分析,分析するは古い,tu analizar,analyser est bon,old analyze,xīn fēnxī,bunseki suru wa atarashii
1,pic_036,pic_036.jpg,8000,B2,现象很好,現象は大きい,tu fenómeno,petit phénomène,old phenomenon,wǒ xǐhuān xiànxiàng,genshou wa ōkii
1,pic_037,pic_037.jpg,8000,B2,书很美,本がいい,libro es bueno,livre très bien,small book,wǒ de shū,anata no hon
1,pic_038,pic_038.jpg,12000,B2,书在这里,私の本,libro es bueno,livre est bon,book very nice,xīn shū,hon desu
1,pic_039,pic_039.jpg,12000,C1,大重要的,重要なは大きい,gran significativo,significatif ici maintenant,significant very nice,nǐ de zhòngyào de,juuyou na wa chiisai
1,pic_040,pic_040.jpg,8000,C1,理解在这里,理解するは大きい,viejo entender,comprendre ici maintenant,understand here now,wǒ xǐhuān lǐjiě,rikai suru wa chiisai
1,pic_041,pic_041.jpg,8000,C1,我的社会,社会は新しい,sociedad muy bien,vieux société,society here now,wǒ xǐhuān shèhuì,watashi no shakai
1,pic_042,pic_042.jpg,8000,C1,你的书,本を食べる,libro aquí ahora,nouveau livre,book here now,wǒ xǐhuān shū,watashi no hon
1,pic_043,pic_043.jpg,8000,C1,你的分析,分析するは大きい,gran analizar,j'aime analyser,old analyze,nǐ de fēnxī,bunseki suru wa furui
1,pic_044,pic_044.jpg,8000,C1,理解不错,理解するは大きい,mi entender,nouveau comprendre,your understand,dà lǐjiě,rikai suru desu
1,pic_045,pic_045.jpg,8000,C2,全面的很好,私の包括的,me gusta comprensivo,mon compréhensif,your comprehensive,quánmiàn de hěn měi,houkatsuteki wo taberu
1,pic_046,pic_046.jpg,12000,C2,新美丽,あなたの美しい,nuevo hermoso,votre beau,beautiful is good,xiǎo měilì,anata no utsukushii
1,pic_047,pic_047.jpg,12000,C2,新影响,あなたの影響する,viejo influir,j'aime influencer,I like influence,yǐngxiǎng zài zhèlǐ,eikyou suru wa ōkii
1,pic_048,pic_048.jpg,8000,C2,我喜欢分析,分析するです,analizar aquí ahora,analyser très bien,new analyze,nǐ de fēnxī,bunseki suru wa atarashii
1,pic_049,pic_049.jpg,8000,C2,我喜欢美丽,美しいがあります,viejo hermoso,nouveau beau,beautiful here now,xiǎo měilì,utsukushii ga ii
1,pic_050,pic_050.jpg,10000,C2,全面的很好,包括的は新しい,gran comprensivo,mon compréhensif,your comprehensive,wǒ xǐhuān quánmiàn de,houkatsuteki ga arimasu
